datetime_utc,crypto,known,unknown
2026-05-12 23:46:45.053751+00:00,Bitcoin,"$50,000,000","$100,000,000"
2026-05-12 23:46:45.053751+00:00,Ethereum,"$50,000,000","$100,000,000"
2026-05-12 23:46:45.053751+00:00,Stablecoins,"$100,000,000","$200,000,000"
2026-05-12 23:46:45.053751+00:00,ERC20,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Ripple,"$50,000,000","$100,000,000"
2026-05-12 23:46:45.053751+00:00,Tron,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Tron,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Polygon,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Solana,"50,000,000","$100,000,000"
2026-05-12 23:46:45.053751+00:00,Bch,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Algorand,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Litecoin,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Dogecoin,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Cardano,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Plasma,"$20,000,000","$50,000,000"
2026-05-12 23:46:45.053751+00:00,Tempo,"$20,000,000","$50,000,000"
